卫视频道,#genre#
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/playlist.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8
湖北卫视,http://112.132.10.54:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8
湖南卫视,http://61.163.181.78:85/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
江苏卫视,http://112.46.85.60:8009/hls/33/index.m3u8
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8
海南卫视,http://58.57.40.22:9901/tsfile/live/1000_1.m3u8
山西卫视,http://60.16.0.216:5757/hls/39/index.m3u8
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8
西藏卫视,http://219.146.95.58:59902/tsfile/live/0111_1.m3u8?txiptv
天津卫视,http://60.16.0.216:5757/hls/34/index.m3u8
广西卫视,http://60.16.0.216:5757/hls/45/index.m3u8
贵州卫视,http://60.16.0.216:5757/hls/37/index.m3u8
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8
农林卫视,http://112.46.85.60:8009/hls/27/index.m3u8
天津卫视,http://112.46.85.60:8009/hls/44/index.m3u8
内蒙古卫视,http://60.16.0.216:5757/hls/41/index.m3u8
湖北卫视,http://58.57.40.22:9901/tsfile/live/1038_1.m3u8
云南卫视,http://58.57.40.22:9901/tsfile/live/1047_1.m3u8
天津卫视,http://58.57.40.22:9901/tsfile/live/1034_1.m3u8
甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8
江苏卫视,http://58.57.40.22:9901/tsfile/live/1031_1.m3u8
海南卫视,http://183.11.239.36:808/hls/124/index.m3u8
四川卫视,http://183.11.239.36:808/hls/50/index.m3u8
厦门卫视,http://125.42.151.128:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://183.11.239.36:808/hls/114/index.m3u8
甘肃卫视,http://58.57.40.22:9901/tsfile/live/1056_1.m3u8
湖南卫视,http://58.57.40.22:9901/tsfile/live/1028_1.m3u8
