更新时间,#genre#
2026-01-22 14:36:45,url
央视频道,#genre#:
CCTV1,http://117.65.18.187:6688/udp/238.1.78.166:7200
CCTV3,http://117.65.18.187:6688/udp/238.1.78.170:7232
CCTV4,http://117.65.18.187:6688/udp/238.1.78.236:7760
CCTV5,http://117.65.18.187:6688/udp/238.1.78.171:7240
CCTV6,http://117.65.18.187:6688/udp/238.1.78.172:7248
CCTV7,http://117.65.18.187:6688/udp/238.1.78.239:7784
CCTV8,http://117.65.18.187:6688/udp/238.1.78.173:7256
CCTV9,http://117.65.18.187:6688/udp/238.1.78.240:7792
CCTV14,http://117.65.18.187:6688/udp/238.1.78.243:7816

卫视频道,#genre#:
东南卫视,http://117.65.18.187:6688/udp/238.1.78.62:6368$标清
东方卫视,http://117.65.18.187:6688/udp/238.1.78.163:7176
兵团卫视,http://117.65.18.187:6688/udp/238.1.78.104:6704
北京卫视,http://117.65.18.187:6688/udp/238.1.78.162:7168
吉林卫视,http://117.65.18.187:6688/udp/238.1.79.48:4496
吉林卫视,http://117.65.18.187:6688/udp/238.1.78.93:6616$标清
四川卫视,http://117.65.18.187:6688/udp/238.1.78.71:6440$标清
宁夏卫视,http://117.65.18.187:6688/udp/238.1.78.109:6744
安徽卫视,http://117.65.18.187:6688/udp/238.1.78.150:7072
山东卫视,http://117.65.18.187:6688/udp/238.1.78.169:7224
山西卫视,http://117.65.18.187:6688/udp/238.1.78.95:6632$标清
广东卫视,http://117.65.18.187:6688/udp/238.1.78.161:7160
广西卫视,http://117.65.18.187:6688/udp/238.1.78.70:6432$标清
新疆卫视,http://117.65.18.187:6688/udp/238.1.78.110:6752
江苏卫视,http://117.65.18.187:6688/udp/238.1.78.64:6384$标清
江西卫视,http://117.65.18.187:6688/udp/238.1.78.26:6136
河南卫视,http://117.65.18.187:6688/udp/238.1.79.65:4632
河南卫视,http://117.65.18.187:6688/udp/238.1.78.69:6424$标清
浙江卫视,http://117.65.18.187:6688/udp/238.1.78.65:6392$标清
海南卫视,http://117.65.18.187:6688/udp/238.1.79.49:4504
深圳卫视,http://117.65.18.187:6688/udp/238.1.78.156:7120
深圳卫视,http://117.65.18.187:6688/udp/238.1.78.99:6664$标清
湖北卫视,http://117.65.18.187:6688/udp/238.1.78.168:7216
湖南卫视,http://117.65.18.187:6688/udp/238.1.78.160:7152
湖南卫视,http://117.65.18.187:6688/udp/238.1.78.67:6408$标清
西藏卫视,http://117.65.18.187:6688/udp/238.1.78.101:6680
贵州卫视,http://117.65.18.187:6688/udp/238.1.78.90:6592$标清
重庆卫视,http://117.65.18.187:6688/udp/238.1.78.31:6176
陕西卫视,http://117.65.18.187:6688/udp/238.1.78.88:6576$标清
黑龙江卫视,http://117.65.18.187:6688/udp/238.1.78.159:7144

安徽频道,#genre#:
上海乐游纪实,http://117.65.18.187:6688/udp/238.1.78.151:7080
临泉新闻频道,http://117.65.18.187:6688/udp/238.1.78.29:6160
休宁新闻综合,http://117.65.18.187:6688/udp/238.1.79.20:4272
六安综合频道,http://117.65.18.187:6688/udp/238.1.78.144:7024
合肥新闻频道,http://117.65.18.187:6688/udp/238.1.78.111:6760
太湖新闻综合,http://117.65.18.187:6688/udp/238.1.79.12:4208
宁国新闻综合,http://117.65.18.187:6688/udp/238.1.78.216:7600
安庆新闻综合,http://117.65.18.187:6688/udp/238.1.78.117:6808
安徽公共频道,http://117.65.18.187:6688/udp/238.1.79.43:4456
安徽影视频道,http://117.65.18.187:6688/udp/238.1.79.42:4448
安徽经济生活,http://117.65.18.187:6688/udp/238.1.79.44:4464
宣城文旅生活,http://117.65.18.187:6688/udp/238.1.78.143:7016
宣城综合频道,http://117.65.18.187:6688/udp/238.1.78.142:7008
宿州公共频道,http://117.65.18.187:6688/udp/238.1.78.122:6848
宿州新闻综合,http://117.65.18.187:6688/udp/238.1.78.121:6840
宿州科教频道,http://117.65.18.187:6688/udp/238.1.78.123:6856
寿县新闻综合,http://117.65.18.187:6688/udp/238.1.78.146:7040
徽州新闻频道,http://117.65.18.187:6688/udp/238.1.78.138:6976
旌德新闻综合,http://117.65.18.187:6688/udp/238.1.78.215:7592
桐城综合频道,http://117.65.18.187:6688/udp/238.1.78.28:6152
池州新闻综合,http://117.65.18.187:6688/udp/238.1.78.147:7048
涡阳新闻综合,http://117.65.18.187:6688/udp/238.1.78.197:7448
淮北新闻综合,http://117.65.18.187:6688/udp/238.1.78.135:6952
湖南金鹰纪实,http://117.65.18.187:6688/udp/238.1.79.9:4184
滁州科教频道,http://117.65.18.187:6688/udp/238.1.78.134:6944
潜山综合频道,http://117.65.18.187:6688/udp/238.1.78.192:7408
濉溪新闻频道,http://117.65.18.187:6688/udp/238.1.78.209:7544
界首综合频道,http://117.65.18.187:6688/udp/238.1.78.195:7432
祁门综合频道,http://117.65.18.187:6688/udp/238.1.79.14:4224
繁昌新闻综合,http://117.65.18.187:6688/udp/238.1.78.190:7392
芜湖生活频道,http://117.65.18.187:6688/udp/238.1.78.80:6512
蒙城新闻频道,http://117.65.18.187:6688/udp/238.1.79.19:4264
蚌埠新闻综合,http://117.65.18.187:6688/udp/238.1.78.180:7312
蚌埠生活频道,http://117.65.18.187:6688/udp/238.1.78.181:7320
郎溪新闻频道,http://117.65.18.187:6688/udp/238.1.78.214:7584
金鹰卡通,http://117.65.18.187:6688/udp/238.1.78.100:6672
铜陵教育科技,http://117.65.18.187:6688/udp/238.1.78.141:7000
铜陵新闻综合,http://117.65.18.187:6688/udp/238.1.78.139:6984
阜南新闻综合,http://117.65.18.187:6688/udp/238.1.79.11:4200
阜阳教育频道,http://117.65.18.187:6688/udp/238.1.78.126:6880
阜阳新闻综合,http://117.65.18.187:6688/udp/238.1.78.124:6864
霍邱新闻综合,http://117.65.18.187:6688/udp/238.1.78.119:6824
马鞍山科教生活,http://117.65.18.187:6688/udp/238.1.78.77:6488
黄山新闻综合,http://117.65.18.187:6688/udp/238.1.78.130:6912
黟县新闻综合,http://117.65.18.187:6688/udp/238.1.78.149:7064

其他频道,#genre#:
CETV1,http://117.65.18.187:6688/udp/238.1.78.158:7136
CETV2,http://117.65.18.187:6688/udp/238.1.78.106:6720
IPTV 魅力时尚,http://117.65.18.187:6688/udp/238.1.78.7:7960
IPTV少儿动画,http://117.65.18.187:6688/udp/238.1.78.6:7952
IPTV法治,http://117.65.18.187:6688/udp/238.1.78.5:7944
IPTV热播剧场,http://117.65.18.187:6688/udp/238.1.78.9:7976
IPTV相声小品,http://117.65.18.187:6688/udp/238.1.78.3:7928
IPTV野外,http://117.65.18.187:6688/udp/238.1.78.4:7936
上海东方财经,http://117.65.18.187:6688/udp/238.1.78.73:6456
兵器科技,http://117.65.18.187:6688/udp/238.1.79.56:4584
军旅剧场,http://117.65.18.187:6688/udp/238.1.78.11:7992
动作影院,http://117.65.18.187:6688/udp/238.1.78.13:4008
卡酷卡通,http://117.65.18.187:6688/udp/238.1.78.97:6648
古装剧场,http://117.65.18.187:6688/udp/238.1.78.12:4000
女性时尚,http://117.65.18.187:6688/udp/238.1.79.55:4576
好学生,http://117.65.18.187:6688/udp/238.1.78.18:4048
屯溪融媒频道,http://117.65.18.187:6688/udp/238.1.79.45:4472
怀旧剧场,http://117.65.18.187:6688/udp/238.1.79.61:4624
文化精品,http://117.65.18.187:6688/udp/238.1.79.54:4568
湖南茶频道,http://117.65.18.187:6688/udp/238.1.79.30:4352
电视指南,http://117.65.18.187:6688/udp/238.1.79.53:4560
空中课堂,http://117.65.18.187:6688/udp/238.1.78.107:6728
第一剧场,http://117.65.18.187:6688/udp/238.1.79.63:4640
音乐现场,http://117.65.18.187:6688/udp/238.1.78.15:4024
风云足球,http://117.65.18.187:6688/udp/238.1.79.57:4592


404: Not Found
