# 上海市电信 IP速度测试结果 - 有效IP 8/11
# 测试时间: 2026-02-12 13:20:39
# IP:端口 速度 连接时间(ms)
1.94.26.150:17988 54.5KB/s (ping:191ms)
60.204.210.122:40001 34.3KB/s (ping:190ms)
121.37.190.200:3542 34.1KB/s (ping:191ms)
60.204.136.158:7547 34.1KB/s (ping:189ms)
115.120.226.128:22335 34.1KB/s (ping:189ms)
1.94.42.128:211 34.0KB/s (ping:193ms)
121.37.187.105:7007 33.9KB/s (ping:185ms)
115.175.34.158:7170 19.0KB/s (ping:190ms)

# 失败统计 (3个):
# 116.233.63.10:5555 - 不可用
# 218.1.137.233:9999 - 不可用
# 124.77.220.45:4022 - 不可用
