# 北京市电信 IP速度测试结果 - 有效IP 18/18
# 测试时间: 2026-01-26 02:15:32
# IP:端口 速度 连接时间(ms)
49.232.181.26:6000 499.2KB/s (ping:251ms)
115.171.80.52:1688 430.5KB/s (ping:233ms)
1.92.77.206:7170 223.1KB/s (ping:230ms)
123.249.85.64:8092 221.0KB/s (ping:245ms)
123.249.111.29:7272 206.0KB/s (ping:236ms)
1.94.247.117:8040 190.9KB/s (ping:251ms)
1.94.251.87:4155 188.8KB/s (ping:248ms)
123.249.27.48:3689 188.7KB/s (ping:245ms)
113.44.239.91:13666 186.8KB/s (ping:248ms)
1.94.200.191:8093 186.4KB/s (ping:249ms)
113.44.248.245:10250 184.0KB/s (ping:247ms)
115.171.216.84:4000 175.7KB/s (ping:230ms)
1.94.199.208:14265 175.4KB/s (ping:238ms)
113.44.198.31:2082 175.3KB/s (ping:227ms)
123.249.108.37:7100 175.1KB/s (ping:230ms)
113.44.160.132:3522 174.7KB/s (ping:229ms)
113.44.242.27:6588 39.1KB/s (ping:238ms)
1.203.76.102:8899 17.1KB/s (ping:251ms)
