# 四川电信 IP速度测试结果 - 有效IP 7/12
# 测试时间: 2025-12-15 02:02:38
# IP:端口 速度 连接时间(ms)
171.88.144.65:4022 468.8KB/s (ping:267ms)
175.152.113.24:4022 468.7KB/s (ping:272ms)
175.152.138.162:6066 385.5KB/s (ping:274ms)
221.237.140.170:8888 377.1KB/s (ping:271ms)
171.213.198.245:8096 231.5KB/s (ping:267ms)
171.213.172.108:4022 123.5KB/s (ping:277ms)
171.213.193.180:3022 118.4KB/s (ping:272ms)

# 失败统计 (5个):
# 171.95.247.100:8888 - HTTP错误
# 171.213.157.54:5678 - 不可用
# 171.213.129.210:5678 - 不可用
# 171.95.212.223:8888 - 不可用
# 171.213.220.68:4022 - 不可用
