# 广东电信 IP速度测试结果 - 有效IP 10/12
# 测试时间: 2026-03-13 13:10:51
# IP:端口 速度 连接时间(ms)
113.65.124.202:9530 82.1KB/s (ping:254ms)
14.145.179.245:8888 80.7KB/s (ping:249ms)
183.31.11.34:8000 79.7KB/s (ping:251ms)
14.19.178.117:4022 79.5KB/s (ping:254ms)
14.118.74.55:10001 79.0KB/s (ping:261ms)
14.221.177.87:4022 78.6KB/s (ping:251ms)
183.21.81.230:4022 77.9KB/s (ping:257ms)
113.101.244.30:10000 76.1KB/s (ping:259ms)
113.66.41.48:10000 73.5KB/s (ping:252ms)
183.30.201.196:10002 72.2KB/s (ping:256ms)

# 失败统计 (2个):
# 120.237.43.217:5050 - 不可用
# 14.145.131.110:8000 - 不可用
