# 江苏电信 IP速度测试结果 - 有效IP 17/33
# 测试时间: 2026-01-12 02:12:13
# IP:端口 速度 连接时间(ms)
222.95.12.2:4022 571.4KB/s (ping:223ms)
49.85.18.193:8886 556.8KB/s (ping:195ms)
114.228.68.93:8888 552.8KB/s (ping:206ms)
49.77.20.152:8118 551.3KB/s (ping:228ms)
114.221.3.70:4022 548.2KB/s (ping:216ms)
121.230.174.1:8000 545.6KB/s (ping:196ms)
49.64.171.168:8887 542.1KB/s (ping:215ms)
114.221.3.64:4022 527.2KB/s (ping:215ms)
222.92.164.123:8887 523.7KB/s (ping:200ms)
117.90.228.92:6000 515.4KB/s (ping:197ms)
114.225.138.63:55555 514.6KB/s (ping:202ms)
222.188.238.72:4022 502.4KB/s (ping:224ms)
114.224.29.165:8888 500.6KB/s (ping:234ms)
49.73.137.56:5555 489.9KB/s (ping:222ms)
49.77.103.176:888 444.0KB/s (ping:197ms)
114.221.3.68:4022 343.5KB/s (ping:197ms)
49.71.188.142:4000 18.3KB/s (ping:214ms)

# 失败统计 (16个):
# 117.85.174.155:389 - 不可用
# 117.85.174.155:49670 - 不可用
# 117.85.174.155:50580 - 不可用
# 117.85.174.155:49665 - 不可用
# 117.85.174.155:20547 - 不可用
# 117.85.174.155:3568 - 不可用
# 114.238.59.59:4000 - 不可用
# 117.85.174.155:9334 - 不可用
# 117.85.174.155:9088 - 不可用
# 117.85.174.155:1588 - 不可用
# 117.85.174.155:7007 - 不可用
# 117.85.174.155:110 - 不可用
# 117.85.174.155:20332 - 不可用
# 117.85.174.155:50777 - 不可用
# 117.85.174.155:3283 - 不可用
# 117.85.174.155:3566 - 不可用
