# 浙江电信 IP速度测试结果 - 有效IP 9/10
# 测试时间: 2026-03-31 13:45:33
# IP:端口 速度 连接时间(ms)
125.116.208.116:4043 90.6KB/s (ping:237ms)
125.115.186.35:4023 90.0KB/s (ping:248ms)
115.216.148.11:8088 87.3KB/s (ping:227ms)
115.213.155.110:4023 86.9KB/s (ping:249ms)
115.209.216.105:4023 86.4KB/s (ping:235ms)
183.151.21.12:4023 81.5KB/s (ping:1238ms)
125.108.127.57:7778 52.6KB/s (ping:224ms)
115.230.57.152:4023 51.2KB/s (ping:238ms)
125.108.82.120:7778 17.5KB/s (ping:1266ms)

# 失败统计 (1个):
# 114.55.111.205:8090 - HTTP错误
